,Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
136506,136507,B006Q820X0,#oc-R5VRHDEVUCFI6,Lydia H.,2,3,5,1340841600,delicious coffee !,"brooklyn bean roastery coffee delicious energizing ; parent always ask cup pull k-cups cabinet , sibling ! appeal young old delicious blend flavor assortment ."
228246,228247,B003VXHGPK,A1T5M4BXCFNUNJ,Coffee Bean,0,0,5,1297641600,new favorite,"yummy , mild , delicious . new favorite ! mild comparision coffee called `` rocket fuel '' taste like motor oil , truly medium roast . pleasant morning . make glad good cup coffee ."
265113,265114,B001SAYOYE,A178NRKHXZDLAV,BigDaddy,0,0,5,1323388800,hoped,always wonder order product online product got store . well product exactly like use able buy store absolutely m-a-r-v-e-l-o-u-s ! ! ! ! product got timely manner enjoying sauce ever since . re-ordering !
41577,41578,B000GB7RV8,A13DARIKZDD51C,stevo1111,1,1,5,1340409600,better expected,purchased macha health food store figured best quality . assuming bright color smell best . good -- -- -but macha tea better opinion . color darker-but smell stronger -- told going potent tried . far give great boost body like well . -- -i 'm highly sensative put body happy feel made great choice company product . * * * * plan buy future -- -- --
128805,128806,B0006TN06Q,A2T8BSIIGDZYJS,ksrp,4,4,1,1240272000,huge rip-off ! ! !,nearly $ 8 little tin curry powder ? amazing. < br / > < br / > either make ( many recipe online ) buy another brand asian grocery store online $ 2 so. < br / > < br / > malaysian curry powder different indian curry . recipe call malaysian curry powder get real thing taste disappointing .
94025,94026,B0002DGRPC,A16GY2RCF410DT,LB,0,0,5,1231718400,great !,dog love treat ! started using training purpose . treat healthy !
338585,338586,B00474OR8G,ALDMJXA99NXEB,Vincent Prezioso,15,21,1,1295222400,truly disappointing . product changed . better !,"buying caribou blend k-cups couple year . fine medium blend , everyone served , love . usually order larger quantity try save money since go fairly quickly . last order placed 2 x 80 box fulfilled k-cups green color label ( older label orange around edge ) . taste new k-cup described vile nothing former product . drinkable . written caribou waiting response , nothing yet ( update hear anything ) . buy product used older product orange color label liked . get thing coffee truly terrible ! < br / > < br / > deserves 0 star ... < br / > < br / > update - note caribou corporate : < br / > < br / > thank taking time contact us. < br / > < br / > certainly apologize confusion . recently packaging caribou blend k cup change . previously regular blend orange band decaf green band . new label regular green band decaf orange band. < br / > < br / > coffee changed , simply label . two factor might involved change taste . change taste affected time lapsed roasting coffee bean brewing ... freshness . also , coffee agricultural crop varies weather environmental factor . roastmasters put lot time attention provide consistency roasting coffee beans. < br / > < br / > apologize confusion please let u know anything else you. < br / > < br / > sincerely , < br / > < br / > linda < br / > < br / > caribou coffee customer relation < br / > < br / > coffee dramatically different , admit change . oh , well . goodbye caribou coffee ."
486761,486762,B006QX60W2,A7I8E6MLE83D3,Diva,0,0,2,1343606400,bleh,"matter long steeped bag , got merest hint flavor . even tried using 2 bag , still little flavor . quite disappointing ."
71602,71603,B000F6X5BK,A18ZYFB3LECF6I,Sqrmster,0,0,5,1306281600,perfect ! !,"bought boyfriend 's grandmother 's 90th birthday . shipping prime , super easy. < br / > < br / > arrived nice protected little sheer bow . course , took could arrange thing inside nicely put back later . item nearly identical picture , minor change - nothing negative way ! ( think note pad different design type tone , biscuit actually truffle cooky . ) loved came little white plastic rose/flower . thought would definitely ad , really nice touch ! < br / > < br / > box beautiful . painting soft detailed , really look handcrafted personal . clock work look amazing , threw battery easy set . ca n't rave box enough . actually would n't mind one ! tiny bit cracked/distressed look , adding vintage/victorian personal feel whole thing. < br / > < br / > unfortunately n't able see face opened , boyfriend say loved would n't stop talking : ) great gift . perfect 'm glad found ! < br / > < br / > know reviewer worried price , kind lot gift basket , realize get ton stuff box absolutely make worth ! 's cheap wicker basket . 's personal thoughtful definitely going last long time ."
445893,445894,B0045GX6J2,A3NP21JO5GF56O,"RATIONAL DRAMATIST ""BOOK HUNTER""",1,1,5,1315958400,3 word ...,'s easy go something like . little bit say product 'm going sum review three word ... super yummy honey !
106172,106173,B0008DI8OY,A21L8PIBU768ES,rhonda,0,0,5,1341878400,wonderful help chocolate work,"amazing ! make dipping chocolate much easier work . using proper amount adversely affect flavor , make chocolate smooth easy coat use candy mold . great item , glad found purchased ."
221524,221525,B002AYC7TG,A74ZHK7QFVQ29,Artìst,1,1,5,1305072000,westie love !,"6 year old westie worst food allergy , coat brittle , low energy . one walk 'd passed . many , take pride dog pride want take care best able . 've tried blue buffalo high rated food , would eat unless `` spiced '' something . time consuming , frustrating , hard keep eating schedule . finally decided give go ahead even though pricey side. < br / > < br / > 've noticed eats immediately even lick bowl . coat soft shiny , 's running dog walk dog ( thats saying something considering 's westie ) , eating schedule regulated better idea 's eaten control weight ( 's small westie around 14 lb . ) < br / > < br / > thinking expensive 's way could afford keep dog diet . dog requires 0.75 ounce 3/4 scoop go long way 2.2 lb . bag . like buying dog food every week. < br / > < br / > small negative dog food slight smell . nothing make vomit something used smelling giving dog food . wondering dog food look like ? 's like small shredded piece dark jerky. < br / > < br / > recommendation ? buy"
198353,198354,B0046HHNY4,A1DVU7UVKZQ3ME,Jimmy1946,0,0,5,1323993600,love pasta,"first heard jerusalem artichoke flour pasta dr. oz show . diabetic love pasta product godsend . type-2 diabetic love pasta ca n't eat regular pasta without blood sugar going sky high . however , pasta large serving blood sugar stay much lower . taste great , regular pasta also pre-biotic good digestive tract . ordered 12-pack pasta eating point forward . highly recommend product diabetic non-diabetics alike ."
471893,471894,B001I4EDGO,ATZV5LEH9XO9M,MarshaS,0,0,5,1308182400,awesome bar,best bar .. < br / > told cholesterol high < br / > needed eat fiber flax ... < br / > friend recommended bar < br / > vacation ... difference ... < br / > sure provide told < br / > taste great ... < br / > would definitely recommend friend .
503032,503033,B000P504ZG,AUQ3GH498JMW4,"RC ""RC""",9,10,5,1183852800,soooo good !,"n't know would taste one used eating junk food cooked food , eating raw food two month bar really special treat . chocolate pleasing chocolate cake , brownie , candy bar ever used eat junk food - even know healthy truly satisfied finished bar !"
47210,47211,B0029O10P4,A20XWDZHAXIYOK,J. Saoud,0,0,5,1311292800,cat love temptation,"cat loved treat think really help releasing hairball , noticed change litterbox prove treat help hairball issue , going buy treat cat finish ."
379523,379524,B007RLRCLK,A20MMCAHGALRAX,Shari Blake,1,1,5,1336694400,great quality raspberry leaf,"trust alvita 's brand tea tried pure excellent quality . raspberry leaf exception . taste mild work like charm ease menstrual cramp . must moon cycle . good value price. < br / > < br / > also check < href= '' http : //www.amazon.com/gp/product/b0009f3qlq '' > yogi woman 's moon cycle , herbal tea supplement , 16-count tea bag ( pack 6 ) < /a >"
348301,348302,B003GS3VQ8,A3MLH2ZSWU9VZU,Scriptease,1,1,5,1285027200,new favorite snack !,"mind-blowingly delicious -- sweet , salty , tangy , little exotic . balance flavor right ; combined impression pretty bold , single ingredient overpowering . 's definitely salty snack , flavor come beautifully . every bite character -- might get nice little burst chili ( mild ; pungent hot ) sweet , chewy pineapple one bite , cluster crunchy , tangy cashew peanut hint lemongrass next . oh , sure give bag good shake dig , distribute good stuff settle bottom . enjoy !"
350327,350328,B000ZDMPD2,A2J5CQFCB11VKJ,"3rdGen ""Middle-aged dude""",0,0,4,1350864000,"work , 's cheaper brand","ca n't understand 'highly advertised ' brand energy drink little bottle cost much . yet , people still buy . tried time mixed result . prefer stacker 6 hour power work 's considerably le expensive . energy come suddenly . instead , find give steady stream energy ( mental & physical ) . mind clear & sharp middle-aged body zip . know , 've gotten lot thing done ! n't drink stuff every day . use lot thing need little extra help . effect last around 5 6 hour . taste okay . 's certainly bad taste . long price remains stable , continue consumer product ."
347748,347749,B001E5E3MQ,AO0Q2PNJM8X36,"Happy to Be Nappy ""Chery""",0,0,3,1323302400,sweetleaf stevia lemon drop review,purchased lemon flavored stevia put water bottle add flavor water . trying kick crystal light habit hoping would good replacement . would definitely product reason gave 3 star lemon flavor pretty mild . know 'm use stronger flavor crystal light worth trying cut back intake drink increase water intake .
422114,422115,B0012KK462,A32PFBXZFIG7Q2,djo,1,1,5,1311552000,picky eater finally satisfied,"oscar , cat , tried many fancy feast varities . picky eater , finally found favorite , chicken , turkey , & beef combination amazon . happy great price free shipping . waiting long line checkout ! yeah !"
477434,477435,B004VLVQHK,A115BQ6PANY6ZG,nowisthetime19,1,1,5,1344384000,wish sold bulk,brought new soy milk machine soyajoy g3 ( awesome btw ) . used bean many delicious recipe 2 pack left .
49560,49561,B001E5E268,A21XUSS7STBPPY,"Laurence E. Spaner ""Lee Spaner""",0,0,4,1339632000,jasmine green tea .,"stash done fine packaging job organic green teas.whether gunpowder like ( fond twinings gunpowder ) . < br / > said stash premium organic jasmine green ranked right rishi jasmine.if familiar rishi. < br / > republic tea jasmine , better these.however lqqking tea great package , easy store , easy pocketbook still delivers , one.is greatest jasmine world , course , enough great tea everyday drinking year long. < br / > even best tea need time , one never disappointed. < br / > two minute brew time 175 temp , n't get bitter , make second great cup minus caffeine.remember caffeine go first cup.you avoid caffeine altogether giving flush 30 second cup 175 degree water removing brewing basket.thanx"
199756,199757,B000K8T3OQ,AMGDC37D0NXIK,Giselle,0,0,5,1215302400,best pita chip buy,"best pita chip market , amazon.com one place buy ."
125274,125275,B001E5E060,AVCBP09CGF81A,"Victoria Austin ""chanteusevcm""",15,16,5,1169769600,great taste nutrition one cereal,"tried healthful cereal taste like tree bark cardboard , knowing body good , still dreaming giving taste bud treat ? kashi heart heart cereal surprise taste bud wonderful toasted oat cereal adorable shape heart `` 's . '' enough honey-filled crunch oodles nutritional value , wo n't even realize eating cereal 's good you. < br / > < br / > providing high fiber , antioxidant botanical like grape seed extract beta carotene , 100 % daily value vitamin e , folic acid , vitamin b6 b12 , cereal chock full healthful ingredient . boot , 's low fat sodium . ask ? < br / > < br / > ingredient listed : whole oat flour , oat bran , evaporated cane juice , yellow corn meal , corn flour , kashi seven whole grain sesame flour ( whole : oat , long grain brown rice , rye , hard red winter wheat , triticale , buckwheat , barley , sesame seed ) , oat fiber , wheat germ , honey , salt , sodium bicarbonate , natural honey flavor , decaffeinated green tea extract , alpha tocopherol , ascorbic acid , activin grape seed extract , tomato extract , pyridoxine hydrochloride , ferrous fumarate , zinc oxide , tuermeric , beta carotene , folic acid , vitamin b12 < br / > < br / > kashi heart heart cereal delicious nutritious mainstay breakfast regimen several year , remain year come. < br / > < br / > - victoria austin"
557165,557166,B0055P0N6Q,A24ZTCZ61RUKQR,"Pamela ""Hickory Point Sales""",1,1,5,1325203200,delicious & satisfying !,"sugar-free halva achva absolutely delicious ! husband loved ate little every day , lasted . texture nice taste mild sweet . found little european market florida order , since 's sold area , least 've found yet . definitely one favorite treat - much healthful !"
439091,439092,B000IEDUTG,A2MA5O4ZFVNP2,Coco Shops,0,0,5,1340841600,taste great good price,"mango treat taste great great price . love snack . organic , nice bonus !"
350101,350102,B000EMU2BG,A2EU7X9AKRTZ7I,John Norris,0,0,3,1323129600,fat free cocoa,"lowest calorie count still flavor , although flavor n't much write home ; make fat-free milk make good morning drink ; frequently hard find grocery store , thus ordering on-line necessity ."
158174,158175,B000VKA92I,AT818PG6QEXA6,Debbie,1,1,5,1315785600,liquid health k-9,"product wonderful . 's second time 've bought dog . wait time ran first bottle received second bottle . time , noticed dog pain hip . 3 4 day stared taking , definite improvement ."
510385,510386,B0018CG2DI,ACZA62F9MWNCS,"M. Leahy ""Mary""",2,2,5,1291075200,"great quality pet food , dog love !","ingredient list product superb . first five ingredient list : `` chicken , turkey , chicken broth , duck , salmon , chicken liver , ... '' love much meat wheat . pick competitor & read first five ingredient ! price also incredibly lower gourmet premium dog food well . would preferred order can senior dog , amazon 's ordered . dog gobble gastric issue food . believe holistic food human & pet , product belongs list ."
257126,257127,B001EKD3PO,AID3Q5FCJ5P9C,Masen,0,0,5,1341792000,flei . instant yeast,"excellent product job well , complaint use mainly making pizza pita bread dow good value money compare small sachettes sell grocery store ."
49267,49268,B000SANSSS,A157LBU0QJVYIC,Claire Dean,0,0,5,1327276800,perfect cuppa,"brit transplanted texas , gasping decent cup tea . found pg tip tea local supermarket , calloo callay , frabjous day ! quite expensive n't get drink often . stumbled accross davidson 's irish breakfast tea looking tea online . 's good pg tip , organic really good price choose subscribe get delivered automatically every month two whatever interval prefer . free shipping also. < br / > perfect cup tea , organic , good health health planet , happy tastebud , good price , free shipping , could better !"
410138,410139,B002NWIQQI,A2MMW09EF2DD8T,LindaLouise6517,0,0,5,1319846400,excellent product,good date - quite moist meaty . like packaging help keep fresh . limit 2 3 day otherwise could sit eat whole container ! yum ! yum ! yum !
141554,141555,B0047RQ9M0,A30ZNRTQHZSRA9,"James E. Yarbrough ""jbird""",0,0,4,1348704000,great product,"great product great price , would recommend everyone us kcups . great product"
179788,179789,B008GRONV6,A3BO0JMCI43U88,Paula Gorton,0,0,5,1332633600,dog love .,"vet prescribed medication one dog ( medium sized pill ) refused swallow . tried pill pocket night became day . dog look forward taking medication morning night . fact dog think one `` treat '' time . 're able split pill pocket half take one cover morning evening medication . pill pocket moist , divided 2 piece hand , molded around pill cover sharp edge . great product ."
498923,498924,B002TXF62S,A290XYC4V2U1S3,msg825,2,2,5,1325030400,yummy breakfast,"love green , great . right amount seasoning without whelming . love green breakfast grit scrambled egg , start day right . subscribe save , ca n't find sylvia brand store around ."
366467,366468,B000CQIDAG,A1VAPL52LK8ACM,Frenchy,2,2,5,1264809600,great green tea !,"drink ton green tea recently purchased amazon . like try new green tea every , think found new `` everyday '' green tea . looking organic green tea without caffeine ( since drink much ) believe probably best green tea ever consumed . fyi : drink green tea cold use 5 6 bag make gallon . buy green tea confidence like make pitcher drink couple day ."
256127,256128,B0047TG8Y2,A15RYGZNTDB2E7,mary,0,0,3,1344211200,potenti,"bought bulk wanted save money . expensive spice local grocery store , available mccormack brand . would use much recipe would use mccormack brand ."
314792,314793,B0049PMN6G,A3OJ5G0K77K9VZ,charles,0,0,5,1334016000,popular office,bought office everyone receptive appreciative . 80 cup went fast ! would recommend anyone value quality .
94241,94242,B0001VWEZW,A35GBC9DGU1NRO,"C. B. Reyes Avila ""cbra""",0,0,5,1179273600,great product !,"use product tub relaxing bath , work perfect ! cat 's like litter machine also keep bad smell away !"
539013,539014,B006ZZC0FW,A2SMWBGTIJNA26,"California Dad ""Cal D.""",0,1,5,1243555200,excellent every way !,"best taste aroma . make day start best note possible . enjoy taste , inhale aroma know great coffee like !"
131228,131229,B00004RAMX,A2XQ2FYRVIJU8E,D. henry,0,0,1,1330646400,trigger sensitive . waste money,"mine work well . another person said , gopher push set trap tunnel spring trap trigger sensative enough . recommend maccabee trap . cost little , lot better luck . n't even waste time setting easy set trap . avoid !"
107591,107592,B007TJGY4Q,A18SCGMZ78M64B,Heidi Thompson,1,1,4,1197936000,dark full like,"bold coffee bought based another review . 's ok , n't find `` deep '' satisfying k-cups gm sumatran reserve timothy 's extra bold rainforest espresso . taste differ like strong , dark coffee , try - may one ."
516398,516399,B000H1217M,AUQU81ULD0E1F,Dexter,0,0,5,1320019200,great treat,second bag treat . dog love . cut half bag last longer . dog three trick know get one treat .
498549,498550,B000HDK0DC,A11B8E6GF1KJKN,S. Riendeau,0,0,5,1301529600,yum !,kid love sucker bought give away home show company involved . people even came back get another good !
501181,501182,B005RFBNP4,AQWGYGS606LSI,"Mr Orange ""Eric""",1,1,5,1330128000,favorite costco without trip !,"membership costco got addicted brand coffee- best stuff 've make toddy maker cold brewing system- idea ! 've tried local coffee roaster , different brand roast whole food , number source bean , 's like made cold brewed ! great shipping usual amazon , nice low acid note hint vanilla background- give shot n't !"
313064,313065,B000EZMRP2,A1JK0LUDD0WLME,"Stephen Zelnick ""SteveZ""",1,2,1,1174176000,stale,bought ahi tuna jerky salmon jerky . dried brittle . absolutely worst .
418963,418964,B0002DH5MG,A14U2ZW7UIEXSV,kevco,1,1,1,1291075200,joke,"joke , thing work . borador think toy , keep going yard brings back . save money n't work"
516203,516204,B008I1XPKA,#oc-R19B7LHEK1ARMD,kelli n,0,1,5,1350518400,brooklyn bean k cup variety pack,"brooklyn bean coffee really tasty . especially liked maple sleigh , fugghedaboutit , brooklyn bridge . variety pack pretty good mix . thankfully couple decaf . none breaking open problem people talked guess must fixed . hope pack listed future let get box one really liked , kind point trying variety , think . basically good cup coffee decent price ."
463268,463269,B0016CQST8,A3KR2L3M15JFUT,Pennywise,1,1,4,1313539200,wanted give five !,"also great tasting , light refreshing ..... although come w/ `` dressing '' pack , add bit rice vinegar make perfect. < br / > definitely purchase ...."
81589,81590,B001EQ4RBM,A2TMY1YEB4TA6,H. BURGESS,2,3,5,1268352000,great taste .,"almond super nutritional food high fat , certainly better cheese puff !"
111732,111733,B000OV8OTY,A33UUMMPU1AW3X,M,0,0,4,1337990400,work !,"sticky trap way smaller mind really trap small insect garden . gnat problem small garden insect 's purchased . next day put little leaf , found lot insect trapped . even moth , also another problem . put new one n't realized would raining night got wet . checked though still really sticky enough trap insect later n't changed . n't change everyone full . would suggest put place butterfly wo n't get color seems attract ."
375255,375256,B0007OPVVW,A2K5K8PZMY5TV0,J. Skievaski,5,5,4,1303171200,yummy,"bought caramel needed treat individually wrapped ( stand along side jolly rancher starbursts ! ) taste great ; creamy delicious . caramel run problem 's generally 're hard chewy . caramel ! sure else said actual taste . be. < br / > < br / > caramel approximately 3/4 '' x 3/4 '' x 1/2 '' entire 5 pound bag displaces approximately 1.5 gallon space. < br / > < br / > arrived rectangle flat box sealed plastic bag label bar code ( x0003aq51l ) text `` caramel square 5lb '' `` new '' , though date ... reason one star deduction believe nutritional info , ingredient , born on/exp date provided. < br / > < br / > seems good product , pity seller n't stand beside ."
276575,276576,B0008GIEKO,A2A9X58G2GTBLP,Wolfee1,0,0,5,1312502400,rich tasting hot cocoa !,"nestle instant hot cocoa mix . really like convenience packet , 50 1 oz.each . mix hot milk boiling water , rich , smooth sweet tasting hot cup chocolate , easy prepare , healthy mess , pour stir hot water , 's terrific option people like drink coffee . take work , office make time day great break daily routine , time , one taste 'll hooked , taste terrific ! thank"
567318,567319,B0000DNS4J,A25PNMNXMUO95V,winglesslight,2,4,1,1087776000,worst . throw away whole bag .,"worst dried mango product . tasted threw away whole bag . ingredient n't read used sugar preservative . thought natural sugar . saw think used bunch sugar also used preservative . well missed ingredient 's still ok taste good product also use sugar preservative . however worst dried mango ever . neither pleasing healthful . already lost money spending n't want bother mouth health worst . , threw away whole bag decisively . attachment . recommend philipine imported dired mango product . 7d mango fine . reference , bought organic natural dried mango . quite different philipine product . real dry somewhat hard rather soft chewy like philipine product . use sugar preservative ."
145188,145189,B000F0C580,AYBCQ12Z5ZPQG,"LoveThatRonWhite ""avidreader""",0,0,5,1347321600,great product,"love quinoa , good price bundle red variety . hope continues offered since 's versatile , cook fast , nutritious !"
531925,531926,B005K4Q34S,A30VYSV5D6GCV1,Donna,3,3,1,1346544000,way sweet,"trying type product use keurig coffee maker thought caramel cappuccino would good choice . sweet could n't drink , throw . sweet tooth much seems sweet . wasted money throwing well grove square hazelnut cappuccino bought ! waste money unless like super sweet !"
258988,258989,B005AYR98C,A1R5Q4GXSYSKPH,Veronica,0,0,2,1330646400,spend money ? ? ?,"ok , maybe spoiled gluten free cooky , dont know terrible . mean dry flavor . 5 gram sugar two cooky known least thought would kind flavor quinao chocolate chip . claim nutty flavor detect , tasted like bunch raw flour mixed together chocolate chip scattered . 6 buck box local health food store feel though ripped . far better gluten free cooky , could make better well . ate one let , really wanted like . ended eating another one wanted make sure really taste terrible , right . second cookie prooved bad first one . 140 calorie two cooky bit bigger silver dollar . say though love individually packaged also packaging recyclable . like dry flavorless cookie would thing . dont know rest , maybe wash almond milk put vegan parfait sort . could give people dislike horrible cookie experience . cooky put smile face make tummy happy choked death dry . would suggest look around local health food store buy one box give try money throw away . would suggest cooky `` enjoy life soft baked cooky '' amazing gluten free cooky ."
420163,420164,B005NVU5BK,A2TUU2UVDBTF9V,Nomad Soul,6,7,5,1321574400,"excellent , sophisticated milk chocolate",excellent tasting chocolate . seems strike near perfect balance ( traditional ) milk chocolate dark chocolate thanks higher `` usual '' cacao percentage . 'd describe flavorful chocolate quite interesting flavor `` note '' . like fact scharffen berger n't rely sugar alone milk chocolate try create good taste . sweetness right 'd look milk chocolate ; 's top lacking either . really enjoy .
250610,250611,B002YR7A78,A207RUYST1GJL4,"Ernie ""IMF Addict""",0,0,5,1347408000,osem product awesome,"osem make great product love support israli-made product ! couscous quick , light nutritious , look forward trying item . school year , time 1-2 hour meal , style love . delicious hot , cold bean salad , even porridge ."
53116,53117,B001E128R2,A3UKGWWZ5QPPTH,eyelndbrez,1,1,4,1322784000,great blueberry,surprised negative review dried blueberry . little two sweet make snack mix nut balance nicely . plump tasty . great pancake muffin . needed add le sugar mix . yummy
356163,356164,B002FS8T5S,A2NMQWBDWT3SQF,Lorel Shea,1,1,5,1247184000,love annie 's bunny graham !,"first , taste great . 's matter kid . like ! bunny graham also made sort organic ingredient hydrogenated oil , high fructose corn syrup , artificial color . compare label bear shaped graham treat 'll see quite difference . another great product annie 's ."
196381,196382,B0019T25QI,A3LIW8GEAJHTYS,R. Banuelos,8,8,5,1315353600,great quality food !,"cat love . feeding science diet , hairball became frequent , decided time something natural . picked bg , took right away . 's usually picky eater . coat shiny thick , seems happier used . energy , social , overall look much healthier . 's always thin cat , way fur filled , look better . food lasted long time , . bought month ago , 'm barely started run low . leave food eat whenver want , must satisfying smaller amount compared cheaper food. < br / > < br / > update : keep roommate 's cat away food ! roommate feed cat wellness , another good quality grain-free food , cat constantly try sneak way bedroom eat cat 's food . 's getting ridiculous . stuff must taste good !"
358937,358938,B003CIBPN8,A2TAV69JIIA6KM,NJ Reader,6,11,3,1306108800,read label,"although plain coconut water good enough taste , additive . say natural flavor . , read label , see concentrate . personally , prefer 100 % pure coconut water . nothing else . additive . concentrate . reason additive . also , even though recyclable , think brand earth-friendly packaging. < br / > < br / > reader 's opinion ."
32363,32364,B001AJ1ULS,AK27Q1G5R44SI,L. Von de Veld,0,1,5,1272672000,happy little pappus,"got sample product expo . papillon loved , decided purchase . turned great product , hip neck sore stiff prior experience happy hip ..... doctor told u disc problem neck , would walk around scream pain time . seemed deteriorating right eye . , week giving one two day , running bouncing playing like puppy . play 2 dog 's joy watch . used give liquid medicine , never made feel good . product continue buy ......"
225930,225931,B001NCI9WK,A1HGEBE421ZFT7,Drew S.,3,11,4,1228176000,no-risk bet vinegar connoisseur,"note carefully-worded item description : `` '' 75 year old . leaf door open really old bottle ... older vinegar better , right ? good authority bottle least 150 year old , meaning bottle may contain vinegar used kill president lincoln ! true vinegar aficionado , opportunity impossible pas . get case save shipping increase odds owning piece history. < br / > < br / > go well prestige dvd , !"
543637,543638,B006MONQMC,AR5SY32T76DBM,Hugo D. Hackenbush,0,0,4,1334534400,"enjoyable , packaging another story","general , big fan recent `` squeeze '' drink concentrate fad . found slightly-off , artificial taste ( one exception : mio sweet tea ) . however , find `` vitamin squeeze energy drink , fruit punch , 12-ounce '' exception rule . vitamin rich , pleasant taste belies sugar-free status. < br / > < br / > unfortunately , take rating product notch packaging . extremely easy dribble leak squeezed wrong manner , coloring prone staining . also , bottle size larger comparable drink product , mio , meaning portable squeeze drink product around. < br / > < br / > , `` vitamin squeeze energy drink , fruit punch , 12-ounce '' definitely worth picking taste , pretty much best 've kind . bad packaging , though ."
197901,197902,B0078Y6CN0,A2J8E7CIR06F5V,"T. Lee ""Aggie90""",1,1,5,1273795200,new favorite coffee !,"reason purchased van houtte 's creme brulee gift daughter-in-law . tried another flavored coffee v.h . n't impressed . creme brulee . daughter-in-law love , husband son usually make fun 'sissy ' coffee like ."
136443,136444,B006Q820X0,#oc-R1791MZMDMM68R,D. Hines,9,17,1,1335052800,"bad review n't kidding , folk - quality control terrible","love good strong cup coffee - favorite k-cup green mountain double black diamond extra bold , 'll try extra bold variety enjoy . `` fuhgeddabboudit '' flavor intrigued pre-ordered box 36 cup . took month arrive , tried morning. < br / > < br / > first , people talking thing making mess counter n't kidding . first cup leaked place , gave cup full ground . almost reluctant try another one - something like ca n't good keurig machine - gave shot. < br / > < br / > n't bad , n't measure double black diamond , since 's essentially price , n't get stuff really like instead ? found flavor little thin , lacking richness dbd cup . okay , nothing write home about. < br / > < br / > real trouble , 'm reluctant play k-cup roulette , given lot people apparently issue . believe 'm going contact amazon returning - 'm willing risk screwing $ 150 keurig poorly-made defective k-cups. < br / > < br / > people brooklyn bean roastery need pay little attention quality control . 's really excuse sort rampant shoddiness products. < br / > < br / > update : amazon refunded money without even wanting return k-cups . amazon 's superb customer service take care problem make customer happy . business easy deal focused whatever take satisfy customer ."
80118,80119,B001SATTPI,AVBJWAJACP98,Dobbs son,0,0,5,1345852800,lysander ' product,"found lysander product waiting steak cut south padre island . really great product line , chicken rub . check seasoning well ."
502020,502021,B004H9V9TG,A7DHJRPOFNNDD,Nancy W,2,2,3,1311552000,o.k .,"flavor taste kind like cherry guess good imagination . like real , fresh cherry like maraschino ."
78806,78807,B0031UBVX6,A1R6BKSGRCPF8X,"K. Bible ""Katy O""",2,4,1,1319673600,disappointed,"due poor packing , 7 14 pouch ordered broke throw . leaked everywhere - mess ! disappointed ! waste money !"
524974,524975,B00473XCSI,ASHLVH2X8PFQN,Eileen Fang,5,5,4,1347235200,explanation labeling,"called company got detailed explanation everything commented review . company spent great deal time explaining seemed sincere. < br / > < br / > change new zealand u < br / > < br / > majority customer base primarily attracted naturally occurring 8.0 alkaline water , issue water trucked half way around world . customer wanted similar quality water le environmental impact . company made business decision follow feedback invested great deal effort finding three natural spring u naturally alkaline . water new zealand long available. < br / > < br / > source water quality report new u based spring found site. < br / > [ ... ] < br / > < br / > distilled water < br / > < br / > time unfortunate mishap happened regarding order specially requested water department store . department store requested distilled water . bottle labeled differently , case looked unfortunately water wound distributed mistake . company state never create another lot distilled water regret water hit market area , limited supply issue dissipate. < br / > < br / > labeling < br / > < br / > original water manufactured new zealand , say `` new zealand '' label . longer produced . lucky enough still possession water , collector 's item. < br / > < br / > new u based water , three naturally alkaline spring say source : multi-spring , bottled eternal beverage , walnut creek ca . water company basing future on. < br / > < br / > distilled water market actually say distilled water back label . possession water , inferior product. < br / > < br / > personal opinion < br / > < br / > happen possession original new zealand water , new u based spring water , well several competing brand : hawaiian spring mountain valley springs. < br / > < br / > comparing taste smell , husband agree would rate four product . 1 . ) new zealand water clear winner , 's shame longer option purchase , 2 . ) u based eternal water second choice , 3 . ) hawaiian spring close second u based eternal water , 4 . ) mountain valley spring water . note : mountain valley spring water contain fluoride ."
249235,249236,B004TPKAN4,A39KS438IBRU6E,"Liberty4all ""DMZ""",0,0,5,1320192000,really liked,"generally prefer soft chewy cookie 'm also huge fan ginger snap 've past surprised much liked cooky . first , crispy ( perhaps `` snap '' name ) chew seem melt bit mouth somewhat unusual crisp cookie . big plus though spicy ( relatively speaking ) ginger bite cooky . distinguishes much ginger snap 've past fairly tasteless . really wonderful ginger taste . , difficult cookie stop eating . went many closing bag evening ."
487973,487974,B0013A0QXC,A1N3K83ARNNN1H,Kitti with an &quot;i&quot;,1,1,5,1312156800,yum,coffee yummy . favorite pod . senseo coffee system provides truly european experience . sumatra blend strong flavorful without overpowering fill cup perfect layer froth . love
199712,199713,B001EO69XI,A2ASBT0E2YNYO8,"Lexx Luther ""Nana Joon""",0,0,5,1251676800,boston 's one,"6 year old boston terrier wheat chicken allergy . sweet potato buddy biscuit treat . know exactly keep n't let forget supposed get one . < href= '' http : //www.amazon.com/gp/product/b001eo69xi '' > cloud star buddy biscuit dog treat , sweet potato madness , 16-ounce box ( pack 6 ) < /a >"
318649,318650,B001E5E33U,A182IIJR1QZFWY,K. Dintino,0,0,5,1329955200,searching favorite k cup !,excited find favorite tea k cup sold 18 cup . package delivered 2 day . definately ordering !
